origin_code,destination_code,sector,trade
1.0,1.0,0,21658993.052291002
1.0,1.0,1,8785330.135282336
1.0,2.0,0,241493.19411366666
1.0,2.0,1,296813.26978966664
1.0,3.0,0,44497.35858666667
1.0,3.0,1,69804.25763066667
1.0,4.0,0,113230.699669
1.0,4.0,1,111018.75981733335
1.0,5.0,0,20782.631512333333
1.0,5.0,1,27829.078824666667
1.0,6.0,0,18357.089776333334
1.0,6.0,1,24552.51536466667
1.0,7.0,0,108436.54284999998
1.0,7.0,1,163204.20398466664
1.0,8.0,0,28742.509386333335
1.0,8.0,1,42130.246839666666
1.0,9.0,0,8102.735633
1.0,9.0,1,13125.283763333335
1.0,10.0,0,72569.90327266666
1.0,10.0,1,140067.38202233333
1.0,11.0,0,124826.972642
1.0,11.0,1,169339.32650866665
2.0,1.0,0,220854.77323100003
2.0,1.0,1,464778.2964333333
2.0,2.0,0,21026660.933802005
2.0,2.0,1,10518962.826149667
2.0,3.0,0,35531.77963333333
2.0,3.0,1,90198.99375099999
2.0,4.0,0,120004.04772666667
2.0,4.0,1,222580.228737
2.0,5.0,0,30869.454518666666
2.0,5.0,1,46764.87423933333
2.0,6.0,0,31917.270943333337
2.0,6.0,1,59435.80167566667
2.0,7.0,0,25397.715697333333
2.0,7.0,1,50048.51731733334
2.0,8.0,0,24720.019462333334
2.0,8.0,1,57952.982645000004
2.0,9.0,0,52699.01836433334
2.0,9.0,1,82532.69096333334
2.0,10.0,0,12021.327450333332
2.0,10.0,1,44291.804598999996
2.0,11.0,0,195579.96493266665
2.0,11.0,1,325287.4017276667
3.0,1.0,0,30919.67033366667
3.0,1.0,1,110058.74249466667
3.0,2.0,0,39401.114421666665
3.0,2.0,1,69807.02839366667
3.0,3.0,0,4738234.653335
3.0,3.0,1,2859196.492422
3.0,4.0,0,45594.73370433334
3.0,4.0,1,113814.82096600001
3.0,5.0,0,1532.2377
3.0,5.0,1,3740.2635756666664
3.0,6.0,0,4241.986095333334
3.0,6.0,1,13123.488490333335
3.0,7.0,0,2642.0486466666666
3.0,7.0,1,9942.689414999999
3.0,8.0,0,12962.71556066667
3.0,8.0,1,40214.77435166666
3.0,9.0,0,1468.0012336666666
3.0,9.0,1,6104.9654316666665
3.0,10.0,0,2754.288303
3.0,10.0,1,13643.944204333335
3.0,11.0,0,52856.75437333334
3.0,11.0,1,129903.79467833333
4.0,1.0,0,55653.089396333344
4.0,1.0,1,391779.08578499994
4.0,2.0,0,61310.980539000004
4.0,2.0,1,325385.77476866666
4.0,3.0,0,22852.092695
4.0,3.0,1,147997.35851700002
4.0,4.0,0,14318663.898413667
4.0,4.0,1,14131221.079219667
4.0,5.0,0,3439.181356333333
4.0,5.0,1,25535.541868999997
4.0,6.0,0,10494.293277333332
4.0,6.0,1,77679.900338
4.0,7.0,0,7053.196033666667
4.0,7.0,1,45983.538499333335
4.0,8.0,0,19211.418353666664
4.0,8.0,1,87277.07844566666
4.0,9.0,0,7582.517972999999
4.0,9.0,1,39356.90836533334
4.0,10.0,0,6141.996902
4.0,10.0,1,61219.07251666667
4.0,11.0,0,78901.47443833335
4.0,11.0,1,388003.8283316667
5.0,1.0,0,13190.460072666667
5.0,1.0,1,23118.696326666668
5.0,2.0,0,23447.696915000004
5.0,2.0,1,22390.49748166667
5.0,3.0,0,4105.3191640000005
5.0,3.0,1,4287.657871333334
5.0,4.0,0,39699.39185533333
5.0,4.0,1,10282.417262333334
5.0,5.0,0,1996727.5350106666
5.0,5.0,1,946275.3932413333
5.0,6.0,0,3149.168601
5.0,6.0,1,3389.719472
5.0,7.0,0,1166.3436076666667
5.0,7.0,1,2666.3193480000004
5.0,8.0,0,2502.7500786666665
5.0,8.0,1,1655.665182
5.0,9.0,0,1226.6734436666666
5.0,9.0,1,2022.924135
5.0,10.0,0,1275.9803816666665
5.0,10.0,1,3936.6918403333334
5.0,11.0,0,16074.462915666669
5.0,11.0,1,29182.197266333333
6.0,1.0,0,15428.898606
6.0,1.0,1,83552.966626
6.0,2.0,0,19492.522795666668
6.0,2.0,1,77114.20274066666
6.0,3.0,0,1637.4148830000001
6.0,3.0,1,8749.044435333333
6.0,4.0,0,8799.385963666666
6.0,4.0,1,21480.454447
6.0,5.0,0,1356.8906536666666
6.0,5.0,1,5125.606624666666
6.0,6.0,0,2592626.250543
6.0,6.0,1,1279189.8146023334
6.0,7.0,0,981.8092556666667
6.0,7.0,1,5773.305821999999
6.0,8.0,0,1944.0585633333333
6.0,8.0,1,7764.093948000001
6.0,9.0,0,1046.5354033333333
6.0,9.0,1,2986.979041
6.0,10.0,0,630.2044713333333
6.0,10.0,1,4273.9436436666665
6.0,11.0,0,17080.82458233333
6.0,11.0,1,65888.334856
7.0,1.0,0,129388.102332
7.0,1.0,1,182365.00302166666
7.0,2.0,0,28086.355614333337
7.0,2.0,1,21707.33512633333
7.0,3.0,0,6715.774289000001
7.0,3.0,1,5235.7658236666675
7.0,4.0,0,14278.013823000001
7.0,4.0,1,16170.175823000003
7.0,5.0,0,1146.812403
7.0,5.0,1,1652.7224720000002
7.0,6.0,0,1967.966333
7.0,6.0,1,2055.3480130000003
7.0,7.0,0,1791634.5116956665
7.0,7.0,1,503823.832518
7.0,8.0,0,3618.8897663333337
7.0,8.0,1,2511.6273793333335
7.0,9.0,0,616.8356156666667
7.0,9.0,1,857.3607176666666
7.0,10.0,0,3593.9198033333337
7.0,10.0,1,7872.916124999999
7.0,11.0,0,10791.449891333332
7.0,11.0,1,10421.074363999998
8.0,1.0,0,9314.769594333333
8.0,1.0,1,71796.59529066666
8.0,2.0,0,9729.763484000001
8.0,2.0,1,61072.820867333336
8.0,3.0,0,6068.6043586666665
8.0,3.0,1,30227.401797
8.0,4.0,0,30589.375864
8.0,4.0,1,162461.799198
8.0,5.0,0,1018.687873
8.0,5.0,1,6194.840467333334
8.0,6.0,0,2829.2654273333333
8.0,6.0,1,18743.63810533333
8.0,7.0,0,817.1199986666667
8.0,7.0,1,7040.745735666666
8.0,8.0,0,1508328.5185629998
8.0,8.0,1,1248599.672425
8.0,9.0,0,1206.482374
8.0,9.0,1,6903.903724666667
8.0,10.0,0,1299.3599326666665
8.0,10.0,1,14683.202244
8.0,11.0,0,17797.18021933333
8.0,11.0,1,101757.730485
9.0,1.0,0,6447.867982666667
9.0,1.0,1,14890.802088333332
9.0,2.0,0,108223.338447
9.0,2.0,1,73732.851272
9.0,3.0,0,8299.592933666667
9.0,3.0,1,6440.181522666666
9.0,4.0,0,25677.301162333333
9.0,4.0,1,14028.804880333335
9.0,5.0,0,749.1762206666667
9.0,5.0,1,1846.83504
9.0,6.0,0,2421.247793666667
9.0,6.0,1,3232.6315140000006
9.0,7.0,0,581.055428
9.0,7.0,1,898.0227189999999
9.0,8.0,0,6305.876988666667
9.0,8.0,1,5181.818715
9.0,9.0,0,1520486.929374667
