origin_code,destination_code,sector,trade
1.0,1.0,0,20251828.871673003
1.0,1.0,1,8708348.334034
1.0,2.0,0,228190.14283100003
1.0,2.0,1,279774.923021
1.0,3.0,0,43618.088216
1.0,3.0,1,71333.581737
1.0,4.0,0,117334.86232799999
1.0,4.0,1,109556.54887
1.0,5.0,0,27901.388456
1.0,5.0,1,37004.617097
1.0,6.0,0,15306.033604
1.0,6.0,1,23330.068359
1.0,7.0,0,126647.420716
1.0,7.0,1,185242.608087
1.0,8.0,0,26196.912288
1.0,8.0,1,42793.076868000004
1.0,9.0,0,11629.036324
1.0,9.0,1,18979.992385999998
1.0,10.0,0,72462.973688
1.0,10.0,1,149333.453192
1.0,11.0,0,126506.78025899999
1.0,11.0,1,181631.154131
2.0,1.0,0,204317.527307
2.0,1.0,1,423433.352895
2.0,2.0,0,23764920.855145
2.0,2.0,1,11861788.41141
2.0,3.0,0,34835.892807000004
2.0,3.0,1,93538.505517
2.0,4.0,0,126651.24527400002
2.0,4.0,1,238504.246452
2.0,5.0,0,40812.068906
2.0,5.0,1,61634.699886
2.0,6.0,0,28808.285372
2.0,6.0,1,55408.316232
2.0,7.0,0,27739.826709
2.0,7.0,1,53157.740364
2.0,8.0,0,28363.061912
2.0,8.0,1,63404.203909
2.0,9.0,0,82076.649539
2.0,9.0,1,126715.55197100001
2.0,10.0,0,12274.369274
2.0,10.0,1,42623.735937
2.0,11.0,0,212785.33818700002
2.0,11.0,1,346375.584117
3.0,1.0,0,26672.346545
3.0,1.0,1,108185.89039
3.0,2.0,0,36894.183974
3.0,2.0,1,68826.196014
3.0,3.0,0,5051188.199074
3.0,3.0,1,3081178.978391
3.0,4.0,0,43819.089217
3.0,4.0,1,127661.73285500001
3.0,5.0,0,2072.583939
3.0,5.0,1,5534.591429
3.0,6.0,0,3676.114623
3.0,6.0,1,12629.133432999999
3.0,7.0,0,2514.436191
3.0,7.0,1,9602.921528
3.0,8.0,0,13080.438654999998
3.0,8.0,1,43926.346001000005
3.0,9.0,0,1941.9618910000002
3.0,9.0,1,8560.110957
3.0,10.0,0,2763.7119890000004
3.0,10.0,1,13975.666336
3.0,11.0,0,56020.159744000004
3.0,11.0,1,138553.59095100002
4.0,1.0,0,55053.789639999995
4.0,1.0,1,394683.50057699997
4.0,2.0,0,65639.479026
4.0,2.0,1,344579.903022
4.0,3.0,0,24788.373747999998
4.0,3.0,1,171602.78321199998
4.0,4.0,0,13085154.356959
4.0,4.0,1,13660204.806903
4.0,5.0,0,4681.582678
4.0,5.0,1,36428.367979
4.0,6.0,0,9437.098436
4.0,6.0,1,68331.983997
4.0,7.0,0,7723.698227
4.0,7.0,1,50039.955698000005
4.0,8.0,0,19431.663016
4.0,8.0,1,91048.475526
4.0,9.0,0,10752.584761
4.0,9.0,1,53526.87809
4.0,10.0,0,6171.601444
4.0,10.0,1,60604.801726
4.0,11.0,0,81152.628363
4.0,11.0,1,385073.20596299996
5.0,1.0,0,16867.87632
5.0,1.0,1,24921.915301
5.0,2.0,0,33840.53676
5.0,2.0,1,25892.835527
5.0,3.0,0,6066.476172000001
5.0,3.0,1,4459.153525
5.0,4.0,0,41052.733794
5.0,4.0,1,9242.80651
5.0,5.0,0,2598516.255302
5.0,5.0,1,1326632.796459
5.0,6.0,0,4047.5022289999997
5.0,6.0,1,3367.343029
